trade_dt,fs_info_type,positions,num_cont
20150320,2,769.0,1.0
20150320,3,799.0,1.0
20150323,2,1632.0,1.0
20150323,3,1641.0,1.0
20150324,2,2041.0,1.0
20150324,3,2072.0,1.0
20150325,2,2408.0,1.0
20150325,3,2442.0,1.0
20150326,2,2894.0,1.0
20150326,3,2948.0,1.0
20150327,2,3419.0,1.0
20150327,3,3534.0,1.0
20150330,2,3701.0,1.0
20150330,3,3835.0,1.0
20150331,2,4403.0,1.0
20150331,3,4656.0,1.0
20150401,2,4299.0,1.0
20150401,3,4544.0,1.0
20150402,2,4373.0,1.0
20150402,3,4590.0,1.0
20150403,2,4868.0,1.0
20150403,3,5049.0,1.0
20150407,2,5175.0,1.0
20150407,3,5346.0,1.0
20150408,2,6080.0,1.0
20150408,3,6573.0,1.0
20150409,2,6694.0,1.0
20150409,3,7305.0,1.0
20150410,2,6986.0,1.0
20150410,3,7721.0,1.0
20150413,2,8101.0,1.0
20150413,3,8864.0,1.0
20150414,2,8671.0,1.0
20150414,3,9448.0,1.0
20150415,2,8779.0,1.0
20150415,3,9634.0,1.0
20150416,2,9170.0,1.0
20150416,3,10143.0,1.0
20150417,2,9585.0,1.0
20150417,3,10732.0,1.0
20150420,2,9806.0,1.0
20150420,3,11036.0,1.0
20150421,2,10749.0,1.0
20150421,3,12010.0,1.0
20150422,2,11139.0,1.0
20150422,3,12564.0,1.0
20150423,2,11703.0,1.0
20150423,3,13039.0,1.0
20150424,2,11998.0,1.0
20150424,3,13294.0,1.0
20150427,2,12901.0,1.0
20150427,3,14463.0,1.0
20150428,2,13217.0,1.0
20150428,3,14831.0,1.0
20150429,2,13891.0,1.0
20150429,3,15821.0,1.0
20150430,2,14978.0,1.0
20150430,3,17170.0,1.0
20150504,2,15137.0,1.0
20150504,3,17719.0,1.0
20150505,2,16583.0,1.0
20150505,3,19170.0,1.0
20150506,2,18521.0,1.0
20150506,3,21048.0,1.0
20150507,2,19494.0,1.0
20150507,3,22295.0,1.0
20150508,2,19867.0,1.0
20150508,3,22901.0,1.0
20150511,2,20109.0,1.0
20150511,3,22856.0,1.0
20150512,2,20344.0,1.0
20150512,3,22922.0,1.0
20150513,2,21638.0,1.0
20150513,3,23925.0,1.0
20150514,2,21955.0,1.0
20150514,3,24725.0,1.0
20150515,2,21722.0,1.0
20150515,3,24667.0,1.0
20150518,2,21693.0,1.0
20150518,3,24739.0,1.0
20150519,2,21472.0,1.0
20150519,3,24663.0,1.0
20150520,2,22238.0,1.0
20150520,3,25311.0,1.0
20150521,2,22000.0,1.0
20150521,3,25107.0,1.0
20150522,2,22450.0,1.0
20150522,3,25610.0,1.0
20150525,2,22553.0,1.0
20150525,3,25999.0,1.0
20150526,2,21717.0,1.0
20150526,3,25385.0,1.0
20150527,2,21983.0,1.0
20150527,3,25441.0,1.0
20150528,2,21794.0,1.0
20150528,3,25239.0,1.0
20150529,2,21145.0,1.0
20150529,3,24652.0,1.0
20150601,2,18902.0,1.0
20150601,3,22324.0,1.0
20150602,2,18574.0,1.0
20150602,3,21982.0,1.0
20150603,2,18632.0,1.0
20150603,3,22011.0,1.0
20150604,2,18529.0,1.0
20150604,3,21841.0,1.0
20150605,2,19185.0,1.0
20150605,3,22434.0,1.0
