trade_dt,fs_info_type,positions,num_cont
20130906,2,2101.0,1.0
20130906,3,2250.0,1.0
20130909,2,2264.0,1.0
20130909,3,2437.0,1.0
20130910,2,2174.0,1.0
20130910,3,2296.0,1.0
20130911,2,2726.0,1.0
20130911,3,2796.0,1.0
20130912,2,2341.0,1.0
20130912,3,2496.0,1.0
20130913,2,2507.0,1.0
20130913,3,2662.0,1.0
20130916,2,2704.0,1.0
20130916,3,2815.0,1.0
20130917,2,4629.0,1.0
20130917,3,4500.0,1.0
20130918,2,4164.0,1.0
20130918,3,4006.0,1.0
20130923,2,4232.0,1.0
20130923,3,4029.0,1.0
20130924,2,4144.0,1.0
20130924,3,3997.0,1.0
20130925,2,4357.0,1.0
20130925,3,4175.0,1.0
20130926,2,4361.0,1.0
20130926,3,4164.0,1.0
20130927,2,3889.0,1.0
20130927,3,3668.0,1.0
20130930,2,3893.0,1.0
20130930,3,3646.0,1.0
20131008,2,3751.0,1.0
20131008,3,3513.0,1.0
20131009,2,3604.0,1.0
20131009,3,3384.0,1.0
20131010,2,3591.0,1.0
20131010,3,3360.0,1.0
20131011,2,3513.0,1.0
20131011,3,3217.0,1.0
20131014,2,3491.0,1.0
20131014,3,3307.0,1.0
20131015,2,3505.0,1.0
20131015,3,3472.0,1.0
20131016,2,3710.0,1.0
20131016,3,3852.0,1.0
20131017,2,3748.0,1.0
20131017,3,3905.0,1.0
20131018,2,3763.0,1.0
20131018,3,3922.0,1.0
20131021,2,3562.0,1.0
20131021,3,3768.0,1.0
20131022,2,3272.0,1.0
20131022,3,3464.0,1.0
20131023,2,3276.0,1.0
20131023,3,3436.0,1.0
20131024,2,3362.0,1.0
20131024,3,3667.0,1.0
20131025,2,3311.0,1.0
20131025,3,3526.0,1.0
20131028,2,3246.0,1.0
20131028,3,3544.0,1.0
20131029,2,3363.0,1.0
20131029,3,3697.0,1.0
20131030,2,3357.0,1.0
20131030,3,3653.0,1.0
20131031,2,3127.0,1.0
20131031,3,3442.0,1.0
20131101,2,3076.0,1.0
20131101,3,3339.0,1.0
20131104,2,2961.0,1.0
20131104,3,3125.0,1.0
20131105,2,2204.0,1.0
20131105,3,2431.0,1.0
20131106,2,2437.0,1.0
20131106,3,2713.0,1.0
20131107,2,2705.0,1.0
20131107,3,3106.0,1.0
20131108,2,2170.0,1.0
20131108,3,2577.0,1.0
20131111,2,2178.0,1.0
20131111,3,2594.0,1.0
20131112,2,1727.0,1.0
20131112,3,2070.0,1.0
20131113,2,1955.0,1.0
20131113,3,2318.0,1.0
20131114,2,2149.0,1.0
20131114,3,2454.0,1.0
20131115,2,2187.0,1.0
20131115,3,2593.0,1.0
20131118,2,2231.0,1.0
20131118,3,2618.0,1.0
20131119,2,2398.0,1.0
20131119,3,2792.0,1.0
20131120,2,2572.0,1.0
20131120,3,2973.0,1.0
20131121,2,2404.0,1.0
20131121,3,2751.0,1.0
20131122,2,2068.0,1.0
20131122,3,2307.0,1.0
20131125,2,1754.0,1.0
20131125,3,1957.0,1.0
20131126,2,1583.0,1.0
20131126,3,1778.0,1.0
20131127,2,1356.0,1.0
20131127,3,1493.0,1.0
20131128,2,1049.0,1.0
20131128,3,1146.0,1.0
20131129,2,882.0,1.0
20131129,3,950.0,1.0
20131202,2,843.0,1.0
20131202,3,903.0,1.0
20131203,2,687.0,1.0
20131203,3,717.0,1.0
20131204,2,629.0,1.0
20131204,3,647.0,1.0
20131205,2,551.0,1.0
20131205,3,560.0,1.0
20131206,2,493.0,1.0
20131206,3,497.0,1.0
20131209,2,441.0,1.0
20131209,3,441.0,1.0
